solver,Data Processing,Model Setup & Compilation,Solver (Math),Backtest & Post-processing
mv,0.815709114074707,0.5686054900024413,0.09500019999999999,0.0020241737365722656
mad,0.7951445579528809,0.8836693081909177,3.0720143999999996,0.0009984970092773438
moehle,0.4173431396484375,4.522700172680665,0.15931620000000002,0.003008127212524414
socp,0.7822928428649902,0.4175527801696777,0.45499580000000006,0.0
1n,0.534456729888916,0,0,0.0009951591491699219
dro_mad,0.7782247066497803,3.4488277709503166,7.132148000000001,0.005476951599121094
