solver,N=5,N=10,N=15,N=20,N=25,N=30,N=35,N=40,N=50,N=60,N=70,N=80,N=90,N=100,N=110,N=120,N=130,N=140,N=150,N=160,N=170,N=180,N=190,N=200
Moehle_Sampled,nan,"(0.064742, 0.499254, 0.015298, 0.000038)",nan,"(0.088247, 0.982409, 0.036608, 0.000043)",nan,"(0.104378, 1.909494, 0.078099, 0.000042)",nan,"(0.121922, 3.183558, 0.120022, 0.000040)","(0.144134, 5.649615, 0.196000, 0.000045)","(0.170583, 8.932318, 0.236288, 0.000051)","(0.197510, 12.631547, 0.348568, 0.000053)","(0.226202, 20.002899, 0.449772, 0.000058)","(0.233852, 27.318145, 0.609909, 0.000056)","(0.258062, 39.936840, 0.808429, 0.000059)","(0.286982, 49.427431, 1.007550, 0.000060)","(0.308951, 67.316430, 1.348652, 0.000059)","(0.334911, 83.851629, 1.404050, 0.000078)","(0.705811, 218.580167, 3.259539, 0.000111)","(0.771788, 234.304672, 4.175906, 0.000108)","(0.836778, 300.719685, 4.879052, 0.000100)","(0.887191, 352.271027, 6.113729, 0.000105)","(0.837465, 353.241424, 6.134426, 0.000121)","(0.892340, 407.925815, 6.987574, 0.000108)","(0.870981, 436.569696, 7.699062, 0.000110)"
1/N,nan,"(0.0, 0.0, 0.045316, 0.0)",nan,"(0.0, 0.0, 0.064582, 0.0)",nan,"(0.0, 0.0, 0.083157, 0.0)",nan,"(0.0, 0.0, 0.105103, 0.0)","(0.0, 0.0, 0.125738, 0.0)","(0.0, 0.0, 0.140325, 0.0)","(0.0, 0.0, 0.154663, 0.0)","(0.0, 0.0, 0.181962, 0.0)","(0.00103, 0.0, 0.188011, 0.0)","(0.0, 0.0, 0.218155, 0.0)","(0.0, 0.0, 0.32144, 0.0)","(0.0, 0.0, 0.275607, 0.0)","(0.000995, 0.0, 0.285879, 0.0)","(0.0, 0.0, 0.28256, 0.0)","(0.0, 0.0, 0.309677, 0.0)","(0.0, 0.0, 0.369982, 0.0)","(0.0, 0.0, 0.480115, 0.0)","(0.0, 0.0, 0.379018, 0.0)","(0.0, 0.0, 0.492685, 0.0)","(0.0, 0.0, 0.440802, 0.0)"
SOCP,nan,nan,nan,"(0.074509, 0.323524, 0.028519, 0.000000)",nan,nan,nan,"(0.107810, 0.349032, 0.079031, 0.000000)",nan,"(0.153605, 0.346739, 0.169515, 0.000000)",nan,"(0.219268, 0.470375, 0.320757, 0.000000)",nan,"(0.300589, 0.467823, 0.504720, 0.000000)",nan,"(0.346241, 0.562047, 0.747154, 0.000000)",nan,"(0.351590, 0.537643, 0.961825, 0.000000)",nan,"(0.393102, 0.609669, 1.314940, 0.000000)",nan,"(0.427892, 0.629552, 1.662637, 0.000000)",nan,"(0.482304, 0.747425, 2.175479, 0.000000)"
Classic MV,nan,nan,nan,"(0.069078, 0.259467, 0.005510, 0.000000)",nan,nan,nan,"(0.119457, 0.321383, 0.015384, 0.001992)",nan,"(0.194064, 0.468502, 0.037458, 0.001000)",nan,"(0.236139, 0.572848, 0.065919, 0.000000)",nan,"(0.264603, 0.586463, 0.096530, 0.000000)",nan,"(0.272346, 0.709045, 0.146744, 0.000000)",nan,"(0.311534, 0.890429, 0.209061, 0.000000)",nan,"(0.387110, 1.249059, 0.285101, 0.000000)",nan,"(0.415062, 1.830363, 0.383207, 0.001742)",nan,"(0.491261, 3.246863, 0.494365, 0.000000)"
DRO-MAD,nan,"(0.067074, 0.89254, 0.445315, 0.0)",nan,"(0.085361, 1.105085, 0.810618, 0.001004)",nan,"(0.108775, 1.335176, 1.299017, 0.0)",nan,"(0.145424, 1.764968, 1.918767, 0.001)","(0.160098, 1.968332, 2.584168, 0.001008)","(0.185189, 2.23439, 3.380793, 0.001057)","(0.283785, 3.309167, 5.090205, 0.001001)","(0.269208, 3.067958, 5.587141, 0.0)","(0.238872, 3.236742, 6.544257, 0.0)","(0.262764, 3.620298, 7.852099, 0.0)","(0.31221, 3.99931, 9.294809, 0.00292)","(0.378152, 4.048653, 10.49519, 0.0)","(0.358659, 5.313681, 11.945644, 0.0)","(0.362169, 5.616765, 13.208617, 0.0)","(0.423691, 6.341291, 15.195101, 0.001006)","(0.462838, 8.306185, 18.991064, 0.002392)","(0.473875, 8.029319, 19.795651, 0.0)","(0.483643, 7.917876, 21.483157, 0.0)","(0.471349, 8.076374, 22.602542, 0.001986)","(0.524478, 7.983141, 24.175155, 0.001)"
Classic MAD,nan,nan,nan,"(0.083656, 0.319512, 0.344149, 0.002002)",nan,nan,nan,"(0.118507, 0.442981, 0.787846, 0.000000)",nan,"(0.160052, 0.542853, 1.341523, 0.000999)",nan,"(0.208789, 0.740408, 2.066573, 0.000000)",nan,"(0.252033, 0.850724, 2.957347, 0.001002)",nan,"(0.290105, 1.021850, 4.224969, 0.002332)",nan,"(0.332098, 1.139349, 5.859823, 0.001006)",nan,"(0.393269, 1.263271, 7.523174, 0.001069)",nan,"(0.422930, 1.423839, 9.458400, 0.000504)",nan,"(0.452432, 1.525150, 11.604954, 0.000000)"
