Model_Type,Delta,Gamma,Mean Return,STD DEV,Sharpe Ratio,Sortino Ratio,Max Drawdown
DRO-MAD,0.0,10,0.07313612370248893,0.19069342951178286,0.3835272347334331,0.41303668622240375,-0.3727671326579042
Moehle,0.0,10,0.06043295458618143,0.2288708889713311,0.2640482363563127,0.3390297932904029,-0.414503921854959
SOCP,0.05,0,0.15168724730041197,0.21446776528072262,0.7072729419354208,0.7750906658807046,-0.38603893996703
Classic MV,0.05,0,0.21464584159367034,0.4302148141124225,0.4989271279198203,0.6811071397027773,-0.5483489758724825
Classic MAD,0.05,0,0.21464584202135092,0.43021481384166377,0.49892712922793303,0.6811071416468916,-0.5483489751851497
1/N,0.05,0,0.16538819230856286,0.21564736420864594,0.7669381581151362,0.8384888363047351,-0.38911496063661544
DRO-MAD,0.05,0,0.13166335337136048,0.2014921446067652,0.6534416199118653,0.7076403297310234,-0.3855261507106861
Moehle,0.05,0,0.3397767514585287,0.39958998297695225,0.8503134861569503,1.2400446012981197,-0.523684816109433
SOCP,0.05,5,0.1412101254241307,0.20945638473622036,0.674174366190671,0.7317138342829198,-0.38454221519444387
Classic MV,0.05,5,0.03670521523076371,0.25451940583839167,0.14421381784173215,0.17606191275584665,-0.5122588274248046
Classic MAD,0.05,5,0.08144789597491392,0.1843448683623659,0.4418235055765813,0.4554941101641014,-0.38310736047800165
1/N,0.05,5,0.16538819230856286,0.21564736420864594,0.7669381581151362,0.8384888363047351,-0.38911496063661544
DRO-MAD,0.05,5,0.13166335337136048,0.2014921446067652,0.6534416199118653,0.7076403297310234,-0.3855261507106861
Moehle,0.05,5,0.1302882991360009,0.30388357140623284,0.4287441355683916,0.49546533285456684,-0.5059633499176766
SOCP,0.05,10,0.1331634809875938,0.20568145624444129,0.6474257982174932,0.6988752256587939,-0.3832794535799897
Classic MV,0.05,10,0.073374196148401,0.22974296025393107,0.31937516634808627,0.3683343350405264,-0.4232727752560934
Classic MAD,0.05,10,0.08030104120254623,0.18304320275649907,0.4386999352790503,0.4516772272413002,-0.3806353021557429
1/N,0.05,10,0.16538819230856286,0.21564736420864594,0.7669381581151362,0.8384888363047351,-0.38911496063661544
DRO-MAD,0.05,10,0.13166335337136048,0.2014921446067652,0.6534416199118653,0.7076403297310234,-0.3855261507106861
Moehle,0.05,10,0.06043295458618143,0.2288708889713311,0.2640482363563127,0.3390297932904029,-0.414503921854959
SOCP,0.1,0,0.1521020733846555,0.21498290933086187,0.7075077449555219,0.7732963856348998,-0.3879059994229688
Classic MV,0.1,0,0.21464584159367034,0.4302148141124225,0.4989271279198203,0.6811071397027773,-0.5483489758724825
Classic MAD,0.1,0,0.21464584202135092,0.43021481384166377,0.49892712922793303,0.6811071416468916,-0.5483489751851497
1/N,0.1,0,0.16538819230856286,0.21564736420864594,0.7669381581151362,0.8384888363047351,-0.38911496063661544
DRO-MAD,0.1,0,0.15629534234987918,0.20995701699836192,0.7444159027611761,0.803254763906252,-0.3871904421471253
Moehle,0.1,0,0.3397767514585287,0.39958998297695225,0.8503134861569503,1.2400446012981197,-0.523684816109433
SOCP,0.1,5,0.1463645407056093,0.21213213214528748,0.6899687436572103,0.7516665829212552,-0.38711224118052145
Classic MV,0.1,5,0.03670521523076371,0.25451940583839167,0.14421381784173215,0.17606191275584665,-0.5122588274248046
Classic MAD,0.1,5,0.08144789597491392,0.1843448683623659,0.4418235055765813,0.4554941101641014,-0.38310736047800165
1/N,0.1,5,0.16538819230856286,0.21564736420864594,0.7669381581151362,0.8384888363047351,-0.38911496063661544
DRO-MAD,0.1,5,0.15629534234987918,0.20995701699836192,0.7444159027611761,0.803254763906252,-0.3871904421471253
Moehle,0.1,5,0.1302882991360009,0.30388357140623284,0.4287441355683916,0.49546533285456684,-0.5059633499176766
SOCP,0.1,10,0.1404251027605584,0.20935915000460573,0.6707378338012413,0.7261485680127215,-0.3863941040624598
Classic MV,0.1,10,0.073374196148401,0.22974296025393107,0.31937516634808627,0.3683343350405264,-0.4232727752560934
Classic MAD,0.1,10,0.08030104120254623,0.18304320275649907,0.4386999352790503,0.4516772272413002,-0.3806353021557429
1/N,0.1,10,0.16538819230856286,0.21564736420864594,0.7669381581151362,0.8384888363047351,-0.38911496063661544
DRO-MAD,0.1,10,0.15629534234987918,0.20995701699836192,0.7444159027611761,0.803254763906252,-0.3871904421471253
Moehle,0.1,10,0.06043295458618143,0.2288708889713311,0.2640482363563127,0.3390297932904029,-0.414503921854959
